user_id,timestamp,risk_score,risk_level,trigger_reason
13195,2026-05-11 18:09:42.743293,71.89,MEDIUM,"purchase_without_browsing,logged_out_purchase"
14052,2026-05-11 18:09:45.769137,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
10970,2026-05-11 18:09:50.669942,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
9114,2026-05-11 18:09:44.608764,73.59,MEDIUM,"purchase_without_browsing,logged_out_purchase"
9004,2026-05-11 18:09:50.607742,73.59,MEDIUM,"purchase_without_browsing,logged_out_purchase"
11137,2026-05-08 12:25:33.281488,58.59,LOW,purchase_without_browsing
13658,2026-05-11 18:09:43.752964,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
13126,2026-05-11 18:09:42.740121,55.05,LOW,"price_spike,logged_out_purchase"
12440,2026-05-11 18:09:44.718537,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
9317,2026-05-11 18:09:42.611956,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
14541,2026-05-11 18:09:45.786078,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
9746,2026-05-11 18:09:48.625116,76.59,MEDIUM,"purchase_without_browsing,price_spike,logged_out_purchase"
10847,2026-05-11 18:09:50.664977,76.59,MEDIUM,"purchase_without_browsing,price_spike,logged_out_purchase"
9026,2026-05-11 18:09:50.607742,63.84,LOW,"purchase_without_browsing,price_spike,logged_out_purchase"
9681,2026-05-11 18:09:42.623119,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
14794,2026-05-11 18:09:44.792997,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
13511,2026-05-11 18:09:44.752598,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
11071,2026-05-11 18:09:46.673344,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
9079,2026-05-11 18:09:46.608764,60.84,LOW,"purchase_without_browsing,logged_out_purchase"
9529,2026-05-11 18:09:42.618141,73.59,MEDIUM,"purchase_without_browsing,logged_out_purchase"
11401,2026-05-11 18:09:44.684919,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
13595,2026-05-11 18:09:44.752964,62.75,LOW,"purchase_without_browsing,logged_out_purchase"
12969,2026-05-11 18:09:42.734550,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
9994,2026-05-11 18:09:46.633117,58.59,LOW,"price_spike,logged_out_purchase"
9604,2026-05-11 18:09:48.620140,76.59,MEDIUM,"purchase_without_browsing,price_spike,logged_out_purchase"
10440,2026-05-11 18:09:48.650071,76.59,MEDIUM,"purchase_without_browsing,price_spike,logged_out_purchase"
14061,2026-05-11 18:09:45.770136,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
10010,2026-05-11 18:09:42.634116,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
11102,2026-05-11 18:09:42.674344,73.59,MEDIUM,"purchase_without_browsing,logged_out_purchase"
11064,2026-05-08 20:14:34.271912,61.59,LOW,"purchase_without_browsing,price_spike"
10095,2026-05-08 11:00:41.239600,61.59,LOW,"purchase_without_browsing,price_spike"
9955,2026-05-11 18:09:44.632116,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
9036,2026-05-11 18:09:50.607742,76.59,MEDIUM,"purchase_without_browsing,price_spike,logged_out_purchase"
9990,2026-05-11 18:09:44.633117,73.59,MEDIUM,"purchase_without_browsing,logged_out_purchase"
11234,2026-05-11 18:09:48.679186,76.59,MEDIUM,"purchase_without_browsing,price_spike,logged_out_purchase"
9210,2026-05-11 18:09:44.610963,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
11460,2026-05-11 18:09:48.686913,76.59,MEDIUM,"purchase_without_browsing,price_spike,logged_out_purchase"
10961,2026-05-09 20:41:22.271912,61.59,LOW,"purchase_without_browsing,price_spike"
9106,2026-05-11 18:09:46.608764,76.59,MEDIUM,"purchase_without_browsing,price_spike,logged_out_purchase"
10073,2026-05-11 18:09:44.636101,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
10775,2026-05-10 21:11:36.255773,62.07,LOW,price_spike
11367,2026-05-10 22:55:32.287677,61.59,LOW,"purchase_without_browsing,price_spike"
10818,2026-05-11 18:09:50.663975,93.59,HIGH,"purchase_without_browsing,price_spike,logged_out_purchase"
11878,2026-05-11 18:09:42.701005,73.59,MEDIUM,"purchase_without_browsing,logged_out_purchase"
13443,2026-05-11 18:09:44.750599,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
11936,2026-05-11 18:09:42.703004,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
16978,2026-05-11 18:09:48.845396,50.75,LOW,"purchase_without_browsing,purchase_location_jump,multiple_locations"
12973,2026-05-11 18:09:42.735550,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
13785,2026-05-11 18:09:45.762157,62.75,LOW,"purchase_without_browsing,logged_out_purchase"
10457,2026-05-11 18:09:48.651053,62.75,LOW,"purchase_without_browsing,logged_out_purchase"
9694,2026-05-11 18:09:46.624116,73.59,MEDIUM,"purchase_without_browsing,logged_out_purchase"
9893,2026-05-11 18:09:48.630117,73.59,MEDIUM,"purchase_without_browsing,logged_out_purchase"
9335,2026-05-08 13:08:35.223794,61.59,LOW,"purchase_without_browsing,price_spike"
9325,2026-05-11 18:09:46.611956,71.89,MEDIUM,"purchase_without_browsing,logged_out_purchase"
14362,2026-05-11 18:09:45.780775,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
10651,2026-05-11 18:09:46.658021,73.59,MEDIUM,"purchase_without_browsing,logged_out_purchase"
9464,2026-05-11 18:09:44.616141,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
12703,2026-05-11 18:09:45.727184,55.05,LOW,"price_spike,logged_out_purchase"
10131,2026-05-11 18:09:48.638121,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
10847,2026-05-11 18:09:48.664977,98.1,HIGH,"purchase_without_browsing,logged_out_purchase"
9957,2026-05-11 18:09:44.632116,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
10658,2026-05-10 10:11:07.255773,61.59,LOW,"purchase_without_browsing,price_spike"
14854,2026-05-11 18:09:43.794587,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
11879,2026-05-11 18:09:50.701005,73.59,MEDIUM,"purchase_without_browsing,logged_out_purchase"
10958,2026-05-11 18:09:48.668987,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
10857,2026-05-11 18:09:50.665976,58.59,LOW,"price_spike,logged_out_purchase"
10180,2026-05-11 18:09:50.640117,65.75,LOW,"purchase_without_browsing,price_spike,logged_out_purchase"
10315,2026-05-11 18:09:44.644103,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
10787,2026-05-11 18:09:50.662833,56.96,LOW,"price_spike,logged_out_purchase"
9251,2026-05-11 18:09:46.610963,73.59,MEDIUM,"purchase_without_browsing,logged_out_purchase"
11594,2026-05-11 18:09:46.690406,76.59,MEDIUM,"purchase_without_browsing,price_spike,logged_out_purchase"
13123,2026-05-11 18:09:44.740121,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
10961,2026-05-11 18:09:48.668987,85.35,MEDIUM,"purchase_without_browsing,logged_out_purchase"
9045,2026-05-11 18:09:50.608764,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
9216,2026-05-11 18:09:50.610963,93.59,HIGH,"purchase_without_browsing,price_spike,logged_out_purchase"
9028,2026-05-11 18:09:48.607742,60.84,LOW,"purchase_without_browsing,logged_out_purchase"
11367,2026-05-11 18:09:48.683647,77.5,MEDIUM,"rapid_purchase_pattern,logged_out_purchase"
11905,2026-05-11 18:09:44.702005,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
11376,2026-05-11 18:09:48.683647,58.59,LOW,"price_spike,logged_out_purchase"
10055,2026-05-09 19:02:03.239600,61.59,LOW,"purchase_without_browsing,price_spike"
9914,2026-05-11 18:09:48.631116,76.59,MEDIUM,"purchase_without_browsing,price_spike,logged_out_purchase"
10891,2026-05-09 17:54:57.271912,61.59,LOW,"purchase_without_browsing,price_spike"
11019,2026-05-11 18:09:50.671365,76.59,MEDIUM,"purchase_without_browsing,price_spike,logged_out_purchase"
10445,2026-05-11 18:09:42.650071,60.84,LOW,"purchase_without_browsing,logged_out_purchase"
9016,2026-05-11 18:09:48.607742,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
13649,2026-05-11 18:09:42.752964,70.26,MEDIUM,"purchase_without_browsing,logged_out_purchase"
10070,2026-05-11 18:09:48.636101,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
10726,2026-05-09 17:29:46.255773,58.59,LOW,purchase_without_browsing
14257,2026-05-11 18:09:43.777166,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
11460,2026-05-08 07:21:09.287677,83.1,MEDIUM,purchase_without_browsing
16064,2026-05-11 18:09:48.825212,50.0,LOW,"purchase_without_browsing,purchase_location_jump"
10406,2026-05-11 18:09:44.647116,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
9045,2026-05-11 18:09:44.608764,81.1,MEDIUM,"purchase_without_browsing,logged_out_purchase"
9772,2026-05-11 18:09:50.626116,58.59,LOW,"price_spike,logged_out_purchase"
13378,2026-05-11 18:09:42.748573,63.84,LOW,"purchase_without_browsing,price_spike,logged_out_purchase"
10248,2026-05-11 04:05:30.255773,58.59,LOW,purchase_without_browsing
12615,2026-05-11 18:09:42.723557,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
9210,2026-05-10 19:07:39.223794,86.1,MEDIUM,"purchase_without_browsing,price_spike"
9028,2026-05-11 18:09:42.607742,84.71,MEDIUM,"purchase_without_browsing,logged_out_purchase"
10440,2026-05-11 18:09:46.650071,98.1,HIGH,"purchase_without_browsing,logged_out_purchase"
13026,2026-05-11 18:09:44.736550,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
10256,2026-05-11 18:09:44.642101,73.59,MEDIUM,"purchase_without_browsing,logged_out_purchase"
11665,2026-05-11 08:36:26.287677,58.59,LOW,purchase_without_browsing
11839,2026-05-11 17:40:11.287677,58.59,LOW,purchase_without_browsing
11717,2026-05-11 18:09:48.694460,73.59,MEDIUM,"purchase_without_browsing,logged_out_purchase"
9513,2026-05-11 14:18:38.223794,61.59,LOW,"purchase_without_browsing,price_spike"
11319,2026-05-11 18:09:50.681682,90.26,HIGH,"purchase_without_browsing,price_spike,logged_out_purchase"
11618,2026-05-11 18:09:48.691459,58.59,LOW,"price_spike,logged_out_purchase"
12526,2026-05-11 18:09:42.720554,53.96,LOW,logged_out_purchase
10341,2026-05-10 03:39:21.255773,61.59,LOW,"purchase_without_browsing,price_spike"
10762,2026-05-11 18:09:50.661021,76.59,MEDIUM,"purchase_without_browsing,price_spike,logged_out_purchase"
10894,2026-05-11 18:09:50.666949,73.59,MEDIUM,"purchase_without_browsing,logged_out_purchase"
14376,2026-05-11 18:09:44.780775,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
11642,2026-05-11 18:09:42.692455,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
13690,2026-05-11 18:09:43.752964,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
13922,2026-05-11 18:09:43.766156,70.26,MEDIUM,"purchase_without_browsing,logged_out_purchase"
9065,2026-05-11 04:43:03.207828,61.59,LOW,"purchase_without_browsing,price_spike"
11825,2026-05-11 18:09:50.699013,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
10085,2026-05-11 18:09:42.636101,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
10031,2026-05-11 18:09:42.634116,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
14190,2026-05-11 18:09:43.775170,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
11665,2026-05-11 18:09:44.693461,82.8,MEDIUM,"purchase_without_browsing,logged_out_purchase"
9957,2026-05-11 18:09:42.632116,81.1,MEDIUM,"purchase_without_browsing,logged_out_purchase"
10988,2026-05-11 18:09:44.670315,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
9401,2026-05-11 18:09:44.612955,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
10515,2026-05-11 18:09:44.653068,55.59,LOW,logged_out_purchase
9746,2026-05-10 17:01:07.239600,103.1,HIGH,"purchase_without_browsing,price_spike"
9205,2026-05-10 12:13:42.223794,61.59,LOW,"purchase_without_browsing,price_spike"
9517,2026-05-11 18:09:48.617142,73.59,MEDIUM,"purchase_without_browsing,logged_out_purchase"
10391,2026-05-10 07:37:29.255773,61.59,LOW,"purchase_without_browsing,price_spike"
10775,2026-05-11 18:09:42.662021,67.76,LOW,logged_out_purchase
14647,2026-05-11 18:09:42.789003,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
12723,2026-05-11 18:09:44.727500,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
14720,2026-05-11 18:09:45.790997,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
11429,2026-05-11 18:09:46.685915,53.04,LOW,logged_out_purchase
13706,2026-05-11 18:09:43.752964,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
11060,2026-05-11 18:09:42.672359,60.84,LOW,"purchase_without_browsing,logged_out_purchase"
10267,2026-05-11 18:09:42.643117,71.89,MEDIUM,"purchase_without_browsing,logged_out_purchase"
10085,2026-05-10 19:26:27.239600,86.1,MEDIUM,"purchase_without_browsing,price_spike"
9704,2026-05-11 18:09:50.624116,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
9652,2026-05-11 18:09:48.622101,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
9705,2026-05-11 18:09:42.624116,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
9634,2026-05-11 18:09:46.622101,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
9634,2026-05-11 18:09:44.622101,81.1,MEDIUM,"purchase_without_browsing,logged_out_purchase"
11505,2026-05-11 18:09:44.687913,68.35,LOW,"purchase_without_browsing,logged_out_purchase"
10427,2026-05-11 18:09:48.648116,76.59,MEDIUM,"purchase_without_browsing,price_spike,logged_out_purchase"
11373,2026-05-11 18:09:50.683647,65.75,LOW,"purchase_without_browsing,price_spike,logged_out_purchase"
11376,2026-05-11 18:09:50.683647,64.8,LOW,logged_out_purchase
10206,2026-05-11 18:09:46.641116,60.84,LOW,"purchase_without_browsing,logged_out_purchase"
13878,2026-05-11 18:09:42.764157,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
9781,2026-05-11 18:09:42.626116,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
10894,2026-05-08 21:34:25.271912,80.55,MEDIUM,purchase_without_browsing
9108,2026-05-11 18:09:50.608764,76.59,MEDIUM,"purchase_without_browsing,price_spike,logged_out_purchase"
9681,2026-05-11 18:09:48.623119,101.1,HIGH,"purchase_without_browsing,price_spike,logged_out_purchase"
9962,2026-05-11 18:09:50.632116,56.59,LOW,"purchase_without_browsing,logged_out_purchase"
14695,2026-05-11 18:09:43.789997,63.84,LOW,"purchase_without_browsing,price_spike,logged_out_purchase"
